hs_code,level,description,parent,chapter,section,section_name
150600,6,"Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.c. in chapter 15",1506,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150710,6,"Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified",1507,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150790,6,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified",1507,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150810,6,"Vegetable oils; ground-nut oil and its fractions, crude, not chemically modified",1508,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150890,6,"Vegetable oils; ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified",1508,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150920,6,"Vegetable oils; olive oil and its fractions, extra virgin olive oil, whether or not refined, but not chemically modified",1509,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150930,6,"Vegetable oils; olive oil and its fractions, virgin olive oil, whether or not refined, but not chemically modified",1509,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150940,6,"Vegetable oils; olive oil and its fractions, virgin olive oils n.e.c. in heading 1509, whether or not refined, but not chemically modified",1509,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
150990,6,"Vegetable oils; olive oil and its fractions, other than virgin, whether or not refined, but not chemically modified",1509,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151010,6,"Vegetable oils; crude olive pomace oil and their fractions, obtained solely from olives, whether or not refined, but not chemically modified",1510,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151090,6,"Vegetable oils; oils and their fractions n.e.c. in heading 1510, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509",1510,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151110,6,"Vegetable oils; palm oil and its fractions, crude, not chemically modified",1511,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151190,6,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified",1511,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151211,6,"Vegetable oils; sunflower seed or safflower oil and their fractions, crude, not chemically modified",1512,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151219,6,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",1512,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151221,6,"Vegetable oils; cotton-seed oil and its fractions; crude, whether or not gossypol has been removed, not chemically modified",1512,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151229,6,"Vegetable oils; cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified",1512,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151311,6,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",1513,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151319,6,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",1513,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151321,6,"Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified",1513,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151329,6,"Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified",1513,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151411,6,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",1514,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151419,6,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",1514,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151491,6,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude",1514,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151499,6,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",1514,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151511,6,"Vegetable oils; linseed oil and its fractions, crude, not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151519,6,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151521,6,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151529,6,"Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151530,6,"Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151550,6,"Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151560,6,"Vegetable oils; microbial fats and oils and their fractions, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151590,6,"Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maize (corn), castor, sesame, microbial oils, whether or not refined, but not chemically modified",1515,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151610,6,"Animal fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151620,6,"Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151630,6,"Microbial fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151710,6,Margarine; excluding liquid margarine,1517,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151790,6,"Edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, n.e.c. in heading 1517, other than edible fats and oils or their fractions of heading 15.16",1517,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
151800,6,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15",1518,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
152000,6,"Glycerol, crude; glycerol waters and glycerol lyes",1520,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
152110,6,Vegetable waxes (other than triglycerides); whether or not refined or coloured,1521,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
152190,6,"Waxes, other than vegetable, n.e.c. in heading no. 1521; whether or not refined or coloured",1521,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
152200,6,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,1522,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
160100,6,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",1601,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160210,6,"Meat preparations; homogenised preparations of meat, meat offal blood or insects",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160220,6,Meat preparations; of the prepared or preserved liver of any animal (excluding homogenised preparations),1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160231,6,"Meat preparations; of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160232,6,"Meat preparations; of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160239,6,"Meat preparations; of poultry (excluding turkeys), prepared or preserved meat or meat offal (excluding livers and homogenised preparations)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160241,6,"Meat preparations; of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160242,6,"Meat preparations; of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160249,6,"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160250,6,"Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160290,6,"Meat preparations; of meat, meat offal or the blood of any animal, n.e.c. in heading no. 1602",1602,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160300,6,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates",1603,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160411,6,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160412,6,"Fish preparations; herrings, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160413,6,"Fish preparations; sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160414,6,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160415,6,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160416,6,"Fish preparations; anchovies, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160417,6,"Fish preparations; eels, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160418,6,"Fish preparations; shark fins, prepared or preserved, whole or in pieces (but not minced)",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160419,6,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160420,6,"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160431,6,Fish preparations; caviar,1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160432,6,"Fish preparations; caviar substitutes, prepared from fish eggs",1604,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160510,6,"Crustacean preparations; crab, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160521,6,"Crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160529,6,"Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160530,6,"Crustacean preparations; lobster, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160540,6,"Crustacean preparations; other than crab, shrimps, prawns, and lobsters, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160551,6,"Mollusc preparations; oysters, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160552,6,"Mollusc preparations; scallops, including queen scallops, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160553,6,"Mollusc preparations; mussels, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160554,6,"Mollusc preparations; cuttle fish and squid, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160555,6,"Mollusc preparations; octopus, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160556,6,"Mollusc preparations; clams, cockles and arkshells, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160557,6,"Mollusc preparations; abalone, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160558,6,"Mollusc preparations; snails, other than sea snails, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160559,6,"Mollusc preparations; n.e.c. in item no. 1605.5, preparations such as pastes, sausages, prepared meals and the like",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160561,6,"Aquatic invertebrates; sea cucumbers, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160562,6,"Aquatic invertebrates; sea urchins, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160563,6,"Aquatic invertebrates; jellyfish, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
160569,6,"Aquatic invertebrates; other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved",1605,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170112,6,"Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter",1701,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170113,6,"Sugars; cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",1701,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170114,6,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",1701,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170191,6,"Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter",1701,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170199,6,"Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter",1701,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170211,6,"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170219,6,"Sugars; lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170220,6,"Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170230,6,"Sugars; glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170240,6,"Sugars; glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170250,6,"Sugars; fructose, chemically pure, in solid form",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170260,6,"Sugars; fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170290,6,"Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose",1702,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170310,6,"Sugars; molasses, from sugar cane, resulting from the extraction or refining of sugar",1703,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170390,6,"Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar",1703,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170410,6,"Sugar confectionery; chewing gum, whether or not sugar-coated, not containing cocoa",1704,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
170490,6,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa",1704,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180100,6,"Cocoa beans; whole or broken, raw or roasted",1801,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180200,6,"Cocoa; shells, husks, skins and other cocoa waste",1802,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180310,6,"Cocoa; paste, not defatted",1803,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180320,6,"Cocoa; paste, wholly or partly defatted",1803,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180400,6,"Cocoa; butter, fat and oil",1804,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180500,6,"Cocoa; powder, not containing added sugar or other sweetening matter",1805,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180610,6,"Cocoa; powder, containing added sugar or other sweetening matter",1806,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180620,6,"Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg",1806,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180631,6,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",1806,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180632,6,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",1806,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
180690,6,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,1806,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190110,6,"Food preparations; of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale",1901,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190120,6,"Food preparations; mixes and doughs for the preparation of bread, pastry, cakes, biscuits and other bakers' wares",1901,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190190,6,"Food preparations; of flour, meal, starch, malt extract or milk products, for uses n.e.c. in heading no. 1901",1901,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190211,6,"Food preparations; pasta, containing eggs, uncooked, not stuffed or otherwise prepared",1902,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190219,6,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",1902,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190220,6,"Food preparations; pasta, stuffed (with meat or other substances), whether or not cooked or otherwise prepared",1902,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190230,6,"Food preparations; pasta (excluding stuffed), cooked or otherwise prepared",1902,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190240,6,Food preparations; couscous,1902,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190300,6,"Food preparations; tapioca and substitutes thereof, prepared from starch in the form of flakes, grains, pearls, siftings or similar",1903,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190410,6,Food preparations; obtained by the swelling or roasting of cereals or cereal products,1904,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190420,6,Food preparations; obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals,1904,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190430,6,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (e.g. corn flakes); cereals, not maize (corn), in grain form or in the form of flakes or other worked grains, from bulgur wheat",1904,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190490,6,"Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared",1904,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190510,6,"Food preparations; crispbread, whether or not containing cocoa",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190520,6,"Food preparations; gingerbread and the like, whether or not containing cocoa",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190531,6,"Food preparations; sweet biscuits, whether or not containing cocoa",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190532,6,"Food preparations; waffles and wafers, whether or not containing cocoa",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190540,6,"Food preparations; rusks, toasted bread and similar toasted products, whether or not containing cocoa",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
190590,6,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",1905,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200110,6,"Vegetable preparations; cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",2001,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200190,6,"Vegetable preparations; vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)",2001,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200210,6,"Vegetable preparations; tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",2002,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200290,6,"Vegetable preparations; tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid",2002,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200310,6,"Vegetable preparations; mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",2003,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200390,6,"Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",2003,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200410,6,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",2004,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200490,6,"Vegetable preparations; vegetables and mixtures of vegetables (excluding potatoes), prepared or preserved otherwise than by vinegar or acetic acid, frozen",2004,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200510,6,"Vegetable preparations; homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200520,6,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200540,6,"Vegetable preparations; peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200551,6,"Vegetable preparations; beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
200559,6,"Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,20,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
